Comuna;Rk_IPS_2022;IPS_2022;Categoria_IPS_2022;Rk_IPS_2020;IPS_2020;Indicador;Valor
La Pintana;1;8803;Alta Prioridad Social;1;8929;Poblacion_40pct_RSH_2021_pct;677
Lo Espejo;2;8532;Alta Prioridad Social;2;8883;Poblacion_40pct_RSH_2021_pct;654
Cerro Navia;3;8511;Alta Prioridad Social;3;8591;Poblacion_40pct_RSH_2021_pct;648
San Ramón;4;8275;Alta Prioridad Social;4;835;Poblacion_40pct_RSH_2021_pct;647
María Pinto;5;7981;Alta Prioridad Social;5;8142;Poblacion_40pct_RSH_2021_pct;601
El Monte;6;7907;Alta Prioridad Social;9;7927;Poblacion_40pct_RSH_2021_pct;641
Conchalí;7;7871;Alta Prioridad Social;7;7987;Poblacion_40pct_RSH_2021_pct;564
El Bosque;8;755;Media Alta Prioridad Social;6;8097;Poblacion_40pct_RSH_2021_pct;629
Pedro Aguirre Cerda;9;7533;Media Alta Prioridad Social;17;7565;Poblacion_40pct_RSH_2021_pct;604
San Pedro;10;7501;Media Alta Prioridad Social;30;6946;Poblacion_40pct_RSH_2021_pct;636
Lo Prado;11;7484;Media Alta Prioridad Social;11;7771;Poblacion_40pct_RSH_2021_pct;596
San Joaquín;12;7446;Media Alta Prioridad Social;13;7687;Poblacion_40pct_RSH_2021_pct;593
La Granja;13;7389;Media Alta Prioridad Social;15;7637;Poblacion_40pct_RSH_2021_pct;615
Isla de Maipo;14;7363;Media Alta Prioridad Social;8;7954;Poblacion_40pct_RSH_2021_pct;594
Melipilla;15;733;Media Alta Prioridad Social;12;7693;Poblacion_40pct_RSH_2021_pct;616
Estación Central;16;7279;Media Alta Prioridad Social;25;7167;Poblacion_40pct_RSH_2021_pct;522
Renca;17;7275;Media Alta Prioridad Social;23;7285;Poblacion_40pct_RSH_2021_pct;594
Til-Til;18;7264;Media Alta Prioridad Social;22;7309;Poblacion_40pct_RSH_2021_pct;550
Recoleta;19;7239;Media Alta Prioridad Social;14;766;Poblacion_40pct_RSH_2021_pct;593
San Bernardo;20;7145;Media Alta Prioridad Social;16;7573;Poblacion_40pct_RSH_2021_pct;574
